city,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
qitaihe,2018-07-14,优,47,199,20,49,8,28,0.54,50
qitaihe,2018-07-15,优,47,183,16,39,8,31,0.45,66
qitaihe,2018-07-16,良,59,269,25,58,11,37,0.54,76
qitaihe,2018-07-17,优,34,86,22,27,12,35,0.77,38
qitaihe,2018-07-18,优,39,114,22,37,8,23,0.74,36
qitaihe,2018-07-19,优,44,141,18,40,7,18,0.41,78
qitaihe,2018-07-20,良,56,213,25,40,7,22,0.48,84
qitaihe,2018-07-21,优,42,77,26,38,8,17,0.49,64
qitaihe,2018-07-22,良,57,196,36,58,7,20,0.62,59
qitaihe,2018-07-23,良,64,271,31,60,7,20,0.61,77
qitaihe,2018-07-24,良,62,258,34,62,9,25,0.73,77
qitaihe,2018-07-25,优,48,159,25,44,9,12,0.42,72
qitaihe,2018-07-26,优,38,98,11,35,10,13,0.41,40
qitaihe,2018-07-27,优,38,88,14,36,7,21,0.45,40
qitaihe,2018-07-28,良,61,250,23,51,12,24,0.47,80
qitaihe,2018-07-29,良,55,182,17,42,9,16,0.41,78
qitaihe,2018-07-30,良,58,216,20,51,8,22,0.43,81
qitaihe,2018-07-31,良,51,177,31,54,8,23,0.53,41
qitaihe,2018-08-01,优,47,161,17,49,8,18,0.53,67
qitaihe,2018-08-02,良,52,204,21,48,7,23,0.48,70
qitaihe,2018-08-03,良,54,234,19,61,9,23,0.71,43
qitaihe,2018-08-04,优,28,31,11,15,6,18,0.61,42
qitaihe,2018-08-05,优,34,53,9,33,7,14,0.45,43
qitaihe,2018-08-06,优,48,152,14,49,11,20,0.51,58
qitaihe,2018-08-07,优,36,64,9,31,18,18,0.44,58
qitaihe,2018-08-08,优,28,17,6,24,12,17,0.42,41
qitaihe,2018-08-09,优,35,26,8,37,9,23,0.59,50
qitaihe,2018-08-10,优,48,111,14,49,10,23,0.59,51
qitaihe,2018-08-11,优,43,78,10,44,10,20,0.41,46
qitaihe,2018-08-12,优,48,142,16,51,9,22,0.38,51
qitaihe,2018-08-13,良,59,256,20,67,11,27,0.46,66
qitaihe,2018-08-14,良,53,252,16,56,11,26,0.65,49
qitaihe,2018-08-15,优,40,152,13,44,9,22,0.33,33
qitaihe,2018-08-16,优,42,175,11,43,11,19,0.29,39
qitaihe,2018-08-17,优,38,102,10,38,12,20,0.36,52
qitaihe,2018-08-18,优,48,225,13,49,11,26,0.39,60
qitaihe,2018-08-19,良,51,234,15,55,9,29,0.39,72
qitaihe,2018-08-20,良,68,322,19,75,10,24,0.58,85
qitaihe,2018-08-21,优,37,38,8,19,11,18,0.71,66
qitaihe,2018-08-22,良,51,159,12,48,8,16,0.42,88
qitaihe,2018-08-23,良,55,161,18,62,9,23,0.53,54
qitaihe,2018-08-25,优,20,5,10,17,8,16,0.48,33
qitaihe,2018-08-27,优,43,95,15,43,8,26,0.61,48
qitaihe,2018-08-29,优,25,20,9,22,9,19,0.53,38
qitaihe,2018-08-31,优,42,179,11,42,8,19,0.42,48
qitaihe,2018-09-02,优,34,106,9,33,10,18,0.32,50
qitaihe,2018-09-03,优,29,46,7,19,9,24,0.36,55
qitaihe,2018-09-04,优,29,61,7,16,7,16,0.44,49
qitaihe,2018-09-05,优,23,27,9,19,7,14,0.37,42
qitaihe,2018-09-06,优,33,57,10,28,8,19,0.35,54
qitaihe,2018-09-07,优,24,16,9,21,5,13,0.30,35
qitaihe,2018-09-08,优,29,41,10,24,5,13,0.25,47
qitaihe,2018-09-09,优,44,110,12,45,5,16,0.27,41
qitaihe,2018-09-10,良,61,258,17,77,6,22,0.48,42
qitaihe,2018-09-11,优,44,102,15,46,9,20,0.47,46
qitaihe,2018-09-12,优,39,96,11,39,7,15,0.35,53
qitaihe,2018-09-13,优,43,146,14,37,6,16,0.35,79
qitaihe,2018-09-14,良,52,208,19,54,6,26,0.55,65
qitaihe,2018-09-15,优,49,195,17,49,6,19,0.48,52
qitaihe,2018-09-16,优,33,108,10,31,6,16,0.30,62
qitaihe,2018-09-17,优,45,214,12,45,6,18,0.33,61
qitaihe,2018-09-18,优,49,240,14,53,7,21,0.50,53
qitaihe,2018-09-19,良,56,277,18,64,5,19,0.47,38
qitaihe,2018-09-20,良,51,239,20,55,9,23,0.46,55
qitaihe,2018-09-21,良,51,206,13,54,9,16,0.32,57
qitaihe,2018-09-22,优,40,121,13,38,7,18,0.25,32
qitaihe,2018-09-23,优,35,96,15,34,6,20,0.43,20
qitaihe,2018-09-24,优,34,97,16,30,7,14,0.26,30
qitaihe,2018-09-25,优,44,172,13,46,6,16,0.24,37
qitaihe,2018-09-26,优,50,243,18,56,7,20,0.31,37
qitaihe,2018-09-27,良,59,281,25,72,9,24,0.48,33
qitaihe,2018-09-28,良,58,256,24,69,8,26,0.47,36
qitaihe,2018-09-29,良,60,238,19,74,8,20,0.35,41
qitaihe,2018-09-30,良,58,202,19,67,8,20,0.56,36
qitaihe,2018-10-01,良,58,254,17,69,5,15,0.26,44
qitaihe,2018-10-02,优,50,131,15,55,7,18,0.25,55
qitaihe,2018-10-03,良,52,117,20,61,8,27,0.36,38
qitaihe,2018-10-04,良,65,186,22,82,9,31,0.54,46
qitaihe,2018-10-05,良,60,164,22,71,10,28,0.49,45
qitaihe,2018-10-06,良,65,182,21,81,11,29,0.55,31
qitaihe,2018-10-07,良,56,145,15,63,6,19,0.26,40
qitaihe,2018-10-08,良,54,137,14,59,6,20,0.26,32
qitaihe,2018-10-09,优,48,137,13,54,8,21,0.22,34
qitaihe,2018-10-10,优,46,157,16,50,8,21,0.38,25
qitaihe,2018-10-11,优,34,58,14,33,5,17,0.26,28
qitaihe,2018-10-12,优,45,89,16,46,6,23,0.35,37
qitaihe,2018-10-13,优,42,56,14,42,4,24,0.38,56
qitaihe,2018-10-14,良,64,240,26,69,5,24,0.52,73
qitaihe,2018-10-15,优,27,44,11,24,4,15,0.21,29
qitaihe,2018-10-16,优,33,80,10,33,7,12,0.19,28
qitaihe,2018-10-17,优,47,156,13,50,6,20,0.29,28
qitaihe,2018-10-18,优,47,161,17,50,6,26,0.33,36
qitaihe,2018-10-19,良,58,246,17,68,5,27,0.28,47
qitaihe,2018-10-20,良,71,283,24,90,7,32,0.42,48
qitaihe,2018-10-21,良,76,276,31,101,8,44,0.57,49
qitaihe,2018-10-22,良,72,250,27,91,11,35,0.44,52
qitaihe,2018-10-23,优,47,142,17,45,8,24,0.41,58
qitaihe,2018-10-24,优,49,125,19,52,7,26,0.63,42
qitaihe,2018-10-25,良,69,213,26,86,11,34,0.68,31
qitaihe,2018-10-26,优,49,121,17,51,15,23,0.44,56
qitaihe,2018-10-27,优,29,25,11,26,11,15,0.26,35
qitaihe,2018-10-28,优,31,45,13,28,12,18,0.28,34
qitaihe,2018-10-29,优,40,95,22,38,11,19,0.39,21
qitaihe,2018-10-30,优,35,50,15,35,8,12,0.23,30
qitaihe,2018-10-31,优,50,97,22,54,7,20,0.35,30
qitaihe,2018-11-01,良,55,112,24,61,8,26,0.42,32
qitaihe,2018-11-02,优,50,87,21,52,10,31,0.40,46
qitaihe,2018-11-03,良,73,238,38,93,10,38,0.68,73
qitaihe,2018-11-04,优,49,132,19,49,8,24,0.30,40
qitaihe,2018-11-05,良,57,234,19,65,6,30,0.36,25
qitaihe,2018-11-06,良,58,304,22,71,13,33,0.53,28
qitaihe,2018-11-07,良,62,292,29,74,10,38,0.63,32
qitaihe,2018-11-08,良,54,231,24,60,12,35,0.59,26
qitaihe,2018-11-09,优,22,3,12,15,9,22,0.34,40
qitaihe,2018-11-10,优,22,4,14,17,8,21,0.34,43
qitaihe,2018-11-11,良,52,132,34,54,9,35,0.58,42
qitaihe,2018-11-12,良,77,254,56,80,9,34,0.67,33
qitaihe,2018-11-13,优,40,87,25,37,7,27,0.36,37
qitaihe,2018-11-14,优,50,122,29,51,9,37,0.54,31
qitaihe,2018-11-15,良,59,209,35,64,15,42,0.70,18
qitaihe,2018-11-16,优,35,117,18,32,6,25,0.32,49
qitaihe,2018-11-17,优,46,209,24,47,8,35,0.42,43
qitaihe,2018-11-18,良,71,280,46,82,13,44,0.69,28
qitaihe,2018-11-19,良,72,255,49,83,12,42,0.70,39
qitaihe,2018-11-20,良,56,175,31,62,12,35,0.62,40
qitaihe,2018-11-21,优,40,90,19,40,8,26,0.33,47
qitaihe,2018-11-22,良,54,153,24,60,8,25,0.33,41
qitaihe,2018-11-23,优,42,36,19,41,6,27,0.31,42
qitaihe,2018-11-24,良,56,84,30,62,8,35,0.53,39
qitaihe,2018-11-25,轻度污染,112,239,80,148,15,58,1.48,23
qitaihe,2018-11-26,良,71,114,39,80,10,35,0.73,62
qitaihe,2018-11-27,良,84,162,19,116,9,32,0.29,56
qitaihe,2018-11-28,良,56,69,16,60,8,22,0.31,43
qitaihe,2018-11-29,良,59,81,22,69,7,26,0.44,38
qitaihe,2018-11-30,良,51,51,21,55,9,27,0.43,36
qitaihe,2018-12-01,优,43,41,22,42,7,24,0.41,39
qitaihe,2018-12-02,优,43,39,13,41,6,21,0.31,71
qitaihe,2018-12-03,良,60,100,21,69,6,22,0.48,58
qitaihe,2018-12-04,良,53,162,20,59,5,16,0.26,36
qitaihe,2018-12-05,良,52,131,22,56,5,22,0.30,38
qitaihe,2018-12-06,良,51,210,23,52,5,23,0.33,44
qitaihe,2018-12-07,良,53,276,20,56,3,16,0.24,52
qitaihe,2018-12-08,优,50,226,18,53,3,18,0.20,53
qitaihe,2018-12-09,良,54,191,24,59,7,26,0.28,47
qitaihe,2018-12-10,良,58,184,29,67,9,32,0.38,37
qitaihe,2018-12-11,良,83,255,48,112,11,38,0.65,27
qitaihe,2018-12-12,轻度污染,105,270,69,140,9,45,0.78,26
qitaihe,2018-12-13,重度污染,202,359,155,236,9,41,1.10,30
qitaihe,2018-12-14,良,69,146,42,71,7,31,0.44,41
qitaihe,2018-12-15,良,58,113,35,62,6,31,0.47,52
qitaihe,2018-12-16,良,86,185,53,115,9,43,0.89,28
qitaihe,2018-12-17,良,66,138,32,80,7,34,0.47,43
qitaihe,2018-12-18,良,62,107,25,76,6,28,0.35,42
qitaihe,2018-12-19,良,60,87,22,70,6,23,0.31,46
qitaihe,2018-12-20,良,72,135,43,91,10,36,0.60,29
qitaihe,2018-12-21,良,92,250,61,123,13,38,1.04,24
qitaihe,2018-12-28,优,45,157,20,47,5,19,0.42,48
qitaihe,2018-12-29,优,44,122,18,44,4,17,0.33,58
qitaihe,2018-12-30,优,44,87,25,44,7,24,0.44,48
qitaihe,2018-12-31,良,54,146,32,53,6,22,0.44,50
qitaihe,2019-01-01,良,51,113,25,51,5,20,0.45,56
qitaihe,2019-01-02,良,61,139,38,69,8,28,0.63,39
qitaihe,2019-01-03,良,55,104,33,57,7,25,0.52,38
qitaihe,2019-01-04,良,76,196,34,98,7,24,0.80,35
qitaihe,2019-01-05,优,48,118,22,49,5,20,0.40,44
qitaihe,2019-01-06,良,55,133,31,60,9,26,0.53,36
qitaihe,2019-01-07,良,58,123,36,63,7,26,0.56,40
qitaihe,2019-01-08,良,66,165,43,76,8,24,0.56,39
qitaihe,2019-01-09,良,57,168,19,69,6,24,0.41,47
qitaihe,2019-01-10,良,94,250,51,133,10,35,0.86,18
qitaihe,2019-01-11,良,71,177,43,85,9,36,0.74,28
qitaihe,2019-01-12,良,85,186,56,110,12,37,0.97,19
qitaihe,2019-01-13,轻度污染,112,207,81,140,11,41,1.05,21
qitaihe,2019-01-14,重度污染,201,304,153,247,9,47,1.74,16
qitaihe,2019-01-15,轻度污染,122,273,90,138,6,28,1.08,37
qitaihe,2019-01-16,优,43,79,20,43,6,18,0.29,55
qitaihe,2019-01-17,优,42,54,19,40,6,12,0.24,57
qitaihe,2019-01-18,优,47,48,27,46,12,23,0.39,45
qitaihe,2019-01-19,良,90,191,63,99,15,39,0.94,33
qitaihe,2019-01-20,良,61,166,38,65,11,22,0.43,50
qitaihe,2019-01-21,良,51,92,33,47,11,25,0.45,40
qitaihe,2019-01-22,良,56,66,34,59,9,28,0.46,44
qitaihe,2019-01-23,良,53,63,34,56,8,17,0.30,51
qitaihe,2019-01-24,优,40,24,24,37,9,16,0.32,47
qitaihe,2019-01-25,良,53,65,35,54,14,18,0.43,46
qitaihe,2019-01-26,良,53,100,30,52,13,20,0.43,46
qitaihe,2019-01-27,优,48,48,28,48,9,23,0.47,52
qitaihe,2019-01-28,良,82,195,53,98,15,24,0.80,43
qitaihe,2019-01-29,良,55,86,32,57,9,25,0.58,44
qitaihe,2019-01-30,良,91,210,33,128,8,16,0.43,55
qitaihe,2019-01-31,良,52,158,19,55,6,12,0.35,58
qitaihe,2019-02-01,良,76,192,50,93,10,27,0.83,43
qitaihe,2019-02-02,轻度污染,105,253,75,132,10,28,1.17,38
qitaihe,2019-02-03,良,75,151,47,94,15,23,0.81,49
qitaihe,2019-02-04,良,51,70,28,56,16,12,0.45,50
qitaihe,2019-02-05,轻度污染,101,164,73,108,23,19,0.74,40
qitaihe,2019-02-06,优,44,65,27,43,9,11,0.48,50
qitaihe,2019-02-07,良,53,163,24,60,8,10,0.38,51
qitaihe,2019-02-08,优,36,110,20,33,6,9,0.36,57
qitaihe,2019-02-09,优,50,179,33,50,10,15,0.49,53
qitaihe,2019-02-10,良,60,205,41,62,11,18,0.57,56
qitaihe,2019-02-11,良,68,209,44,77,12,24,0.70,46
qitaihe,2019-02-12,良,70,232,45,77,11,16,0.55,57
qitaihe,2019-02-13,良,53,179,32,57,13,16,0.48,58
qitaihe,2019-02-14,良,61,215,38,66,11,17,0.45,63
qitaihe,2019-02-15,轻度污染,116,326,86,117,15,28,0.87,59
qitaihe,2019-02-16,良,88,306,61,99,10,19,0.58,63
qitaihe,2019-02-17,良,60,240,34,64,8,11,0.39,69
qitaihe,2019-02-18,良,54,192,34,57,11,19,0.57,68
qitaihe,2019-02-19,轻度污染,118,279,88,123,19,31,1.05,58
qitaihe,2019-02-20,中度污染,185,318,143,196,14,30,1.13,72
qitaihe,2019-02-21,轻度污染,137,289,103,148,12,28,0.81,78
qitaihe,2019-02-22,轻度污染,141,296,107,147,17,34,0.82,71
qitaihe,2019-02-23,良,68,166,46,67,8,22,0.56,68
qitaihe,2019-02-24,良,66,160,35,81,5,13,0.43,80
qitaihe,2019-02-25,轻度污染,103,241,76,107,10,20,0.69,66
qitaihe,2019-02-26,严重污染,275,361,246,294,17,51,1.43,69
qitaihe,2019-02-27,严重污染,301,362,250,322,18,54,1.36,91
qitaihe,2019-02-28,重度污染,206,347,165,225,12,32,0.98,81
qitaihe,2019-03-01,严重污染,302,366,259,334,10,39,1.39,67
qitaihe,2019-03-02,轻度污染,108,245,80,118,12,30,0.85,73
qitaihe,2019-03-03,良,82,212,57,106,8,28,0.72,76
qitaihe,2019-03-04,良,69,177,46,82,11,28,0.75,66
qitaihe,2019-03-05,良,91,216,66,111,14,30,0.82,67
qitaihe,2019-03-06,优,50,139,25,50,8,17,0.45,71
qitaihe,2019-03-07,优,50,125,25,53,8,20,0.47,64
qitaihe,2019-03-08,良,52,118,27,53,9,19,0.49,80
qitaihe,2019-03-09,轻度污染,102,333,35,136,8,15,0.47,84
qitaihe,2019-03-10,优,40,60,22,38,10,21,0.55,66
qitaihe,2019-03-11,良,59,141,37,60,9,26,0.66,69
qitaihe,2019-03-12,良,72,228,45,77,7,25,0.64,60
qitaihe,2019-03-13,优,44,35,26,41,8,17,0.48,64
qitaihe,2019-03-14,优,44,53,25,40,8,17,0.47,74
qitaihe,2019-03-15,优,49,101,32,48,7,21,0.64,59
qitaihe,2019-03-16,优,49,68,30,43,10,21,0.58,65
qitaihe,2019-03-17,优,49,74,25,48,11,15,0.56,80
qitaihe,2019-03-18,良,73,233,39,87,8,17,0.65,97
qitaihe,2019-03-19,良,66,162,36,75,8,18,0.73,80
qitaihe,2019-03-20,严重污染,316,356,273,350,10,43,1.57,101
qitaihe,2019-03-21,良,85,300,53,93,6,15,0.56,71
qitaihe,2019-03-22,优,43,127,19,24,7,20,0.53,81
qitaihe,2019-03-23,优,41,122,21,27,6,18,0.57,75
qitaihe,2019-03-24,优,47,102,22,40,5,16,0.62,84
qitaihe,2019-03-25,良,59,152,33,63,5,18,0.71,81
qitaihe,2019-03-26,良,58,144,27,64,4,7,0.53,84
qitaihe,2019-03-27,优,43,37,22,39,7,12,0.54,71
qitaihe,2019-03-28,优,48,86,26,48,6,13,0.55,70
qitaihe,2019-03-29,良,53,125,33,54,8,17,0.66,69
qitaihe,2019-03-30,良,68,213,47,74,9,21,0.77,82
qitaihe,2019-03-31,良,65,265,44,63,7,15,0.63,88
qitaihe,2019-04-01,良,78,309,53,83,7,21,0.76,69
qitaihe,2019-04-02,良,73,281,46,67,8,24,0.70,67
qitaihe,2019-04-03,良,64,216,38,74,9,14,0.61,92
qitaihe,2019-04-04,良,74,237,42,88,10,16,0.68,89
qitaihe,2019-04-05,优,43,66,23,28,6,10,0.57,86
qitaihe,2019-04-06,优,48,62,23,38,7,12,0.53,89
qitaihe,2019-04-07,优,41,37,17,30,6,13,0.56,75
qitaihe,2019-04-08,优,41,49,21,36,6,21,0.64,62
qitaihe,2019-04-09,优,44,101,20,40,6,18,0.62,70
qitaihe,2019-04-10,优,46,132,19,43,8,18,0.62,74
qitaihe,2019-04-11,优,49,165,24,45,6,17,0.62,76
qitaihe,2019-04-12,良,62,205,30,64,7,19,0.67,90
qitaihe,2019-04-13,良,66,220,36,76,7,16,0.72,90
qitaihe,2019-04-14,优,46,96,21,36,7,16,0.71,69
qitaihe,2019-04-15,良,58,148,30,63,7,17,0.71,84
qitaihe,2019-04-16,良,78,284,34,94,7,14,0.72,118
qitaihe,2019-04-17,良,83,261,40,93,7,19,0.71,134
qitaihe,2019-04-18,良,74,221,22,87,5,9,0.50,92
qitaihe,2019-04-19,良,54,102,18,56,8,12,0.54,80
qitaihe,2019-04-20,良,54,126,29,57,10,20,0.81,81
qitaihe,2019-04-21,轻度污染,122,349,71,189,5,15,0.76,103
qitaihe,2019-04-22,良,74,256,43,89,10,18,0.80,93
qitaihe,2019-04-23,良,93,333,47,134,5,13,0.77,106
qitaihe,2019-04-24,轻度污染,140,344,43,183,5,12,0.43,87
qitaihe,2019-04-25,优,42,71,19,37,4,14,0.36,69
qitaihe,2019-04-26,优,47,110,22,38,4,19,0.43,72
qitaihe,2019-04-27,良,53,165,25,49,5,20,0.41,79
qitaihe,2019-04-28,良,68,294,29,78,5,21,0.49,102
qitaihe,2019-04-29,良,69,284,33,69,7,20,0.56,104
qitaihe,2019-04-30,良,54,187,23,46,5,16,0.48,96
qitaihe,2019-05-01,优,37,39,15,27,3,14,0.43,71
qitaihe,2019-05-02,优,38,23,13,29,3,15,0.42,76
qitaihe,2019-05-03,良,51,73,17,43,4,21,0.47,81
qitaihe,2019-05-04,良,63,159,31,60,6,23,0.65,88
qitaihe,2019-05-05,良,62,192,29,67,4,11,0.47,90
qitaihe,2019-05-06,优,42,110,12,26,3,8,0.36,85
qitaihe,2019-05-07,优,47,120,15,31,4,11,0.37,90
qitaihe,2019-05-08,优,48,129,19,38,7,15,0.53,91
qitaihe,2019-05-09,优,44,94,14,34,5,15,0.44,84
qitaihe,2019-05-10,优,48,74,18,45,4,16,0.53,76
qitaihe,2019-05-11,良,59,90,17,65,4,17,0.45,86
qitaihe,2019-05-12,良,53,51,24,57,5,20,0.69,80
qitaihe,2019-05-13,良,63,161,22,70,6,16,0.48,93
qitaihe,2019-05-14,良,57,121,21,50,4,12,0.44,98
qitaihe,2019-05-15,良,66,212,24,64,3,12,0.40,110
qitaihe,2019-05-16,轻度污染,112,324,42,151,3,11,0.38,119
qitaihe,2019-05-17,良,64,243,25,68,4,15,0.53,93
qitaihe,2019-05-18,优,47,128,23,46,3,13,0.67,80
qitaihe,2019-05-19,优,35,24,15,26,3,12,0.50,66
qitaihe,2019-05-20,优,43,77,10,19,4,15,0.42,83
qitaihe,2019-05-21,优,29,9,10,21,3,8,0.35,52
qitaihe,2019-05-22,优,29,6,10,18,2,9,0.33,58
qitaihe,2019-05-23,优,33,13,14,28,3,16,0.44,55
qitaihe,2019-05-24,优,45,35,17,37,6,17,0.51,78
qitaihe,2019-05-25,良,94,290,28,72,5,15,0.58,160
qitaihe,2019-05-26,良,71,292,22,55,3,14,0.48,106
qitaihe,2019-05-27,优,31,37,15,25,3,16,0.46,50
qitaihe,2019-05-28,优,39,94,9,24,2,8,0.34,71
qitaihe,2019-05-29,优,30,39,9,15,4,10,0.39,56
qitaihe,2019-05-30,优,41,81,14,29,3,15,0.54,72
qitaihe,2019-05-31,优,33,43,9,18,2,11,0.40,63
qitaihe,2019-06-01,优,34,51,12,25,3,16,0.42,65
qitaihe,2019-06-02,良,52,119,18,40,4,14,0.49,98
qitaihe,2019-06-03,优,37,45,16,30,6,15,0.50,67
qitaihe,2019-06-04,优,38,34,13,29,4,15,0.48,63
qitaihe,2019-06-05,优,41,77,14,31,5,16,0.51,72
qitaihe,2019-06-06,良,55,236,13,34,3,15,0.42,100
qitaihe,2019-06-07,优,41,109,15,30,5,17,0.55,68
qitaihe,2019-06-08,优,41,113,16,32,6,22,0.55,69
qitaihe,2019-06-09,优,43,136,16,33,6,23,0.57,68
qitaihe,2019-06-10,优,39,114,16,31,5,22,0.61,62
qitaihe,2019-06-11,优,35,74,16,34,6,35,0.46,28
qitaihe,2019-06-14,优,23,32,16,16,28,16,0.48,21
qitaihe,2019-06-15,优,19,20,12,11,8,17,0.37,40
qitaihe,2019-06-17,优,36,141,16,36,6,29,0.47,46
qitaihe,2019-06-18,优,31,144,18,29,6,21,0.55,53
qitaihe,2019-06-19,优,28,87,13,24,9,25,0.53,54
qitaihe,2019-06-20,优,21,35,12,16,6,21,0.43,46
qitaihe,2019-06-25,良,65,259,18,37,4,15,0.68,110
qitaihe,2019-06-26,良,60,249,20,43,4,17,0.66,103
qitaihe,2019-06-27,优,24,13,11,23,3,9,0.44,20
qitaihe,2019-06-28,优,18,6,9,15,3,7,0.48,21
qitaihe,2019-06-29,优,19,6,9,14,3,6,0.43,37
qitaihe,2019-06-30,优,24,14,9,15,3,7,0.40,45
qitaihe,2019-07-01,优,25,16,8,7,3,12,0.58,44
qitaihe,2019-07-02,优,30,32,11,16,4,11,0.51,60
qitaihe,2019-07-03,优,38,86,13,22,8,11,0.46,74
qitaihe,2019-07-04,优,48,153,14,24,13,14,0.50,91
qitaihe,2019-07-05,优,34,95,14,28,14,14,0.65,54
qitaihe,2019-07-06,优,34,87,15,31,8,16,0.69,55
qitaihe,2019-07-07,优,39,114,16,35,7,16,0.68,62
qitaihe,2019-07-12,优,40,195,12,45,11,28,0.68,37
qitaihe,2019-07-13,优,28,82,15,26,8,27,0.68,53
qitaihe,2019-07-14,优,16,9,9,12,8,18,0.57,40
qitaihe,2019-07-15,优,22,26,11,18,7,19,0.65,37
qitaihe,2019-07-16,优,17,12,7,13,9,16,0.55,45
qitaihe,2019-07-17,优,19,16,9,17,6,17,0.59,50
qitaihe,2019-07-18,优,37,188,13,39,5,23,0.67,67
qitaihe,2019-07-19,优,50,291,13,55,7,32,0.62,61
qitaihe,2019-07-20,优,43,225,14,44,8,26,0.89,56
qitaihe,2019-07-21,优,21,30,8,20,11,13,0.48,29
qitaihe,2019-07-22,优,13,6,7,9,6,16,0.55,26
qitaihe,2019-07-23,优,25,64,10,24,6,23,0.54,56
qitaihe,2019-07-24,优,28,86,11,24,7,24,0.49,65
qitaihe,2019-07-25,优,20,38,10,20,8,23,0.61,39
qitaihe,2019-07-26,优,30,85,11,29,7,24,0.63,50
qitaihe,2019-08-06,优,46,218,21,43,4,18,0.88,48
qitaihe,2019-08-07,优,25,20,11,22,4,12,0.74,42
qitaihe,2019-08-08,优,28,35,14,26,5,10,0.77,34
qitaihe,2019-08-09,优,19,6,7,11,4,11,0.71,41
qitaihe,2019-08-10,优,27,68,11,21,4,12,0.68,41
qitaihe,2019-08-11,优,21,42,11,20,4,13,0.83,19
qitaihe,2019-08-21,优,22,23,12,19,10,16,0.72,44
qitaihe,2019-08-22,优,29,51,14,27,9,17,0.67,56
qitaihe,2019-08-23,优,19,18,11,17,8,11,0.59,35
qitaihe,2019-08-24,优,15,4,9,13,6,13,0.48,28
qitaihe,2019-08-25,优,28,60,12,27,8,19,0.56,26
qitaihe,2019-08-26,优,34,123,17,35,9,18,0.92,46
qitaihe,2019-08-27,优,21,23,12,20,9,20,0.72,38
qitaihe,2019-08-28,优,33,138,16,32,7,21,0.69,53
qitaihe,2019-09-01,优,27,65,12,25,6,17,0.44,57
qitaihe,2019-09-02,优,24,69,11,19,6,16,0.65,54
qitaihe,2019-09-03,优,43,211,19,46,14,24,0.80,39
qitaihe,2019-09-04,优,43,181,20,45,11,20,0.76,60
qitaihe,2019-09-05,优,29,82,11,28,9,16,0.48,65
qitaihe,2019-09-06,良,53,238,16,64,10,21,0.64,40
qitaihe,2019-09-07,优,41,128,9,45,10,19,0.73,28
qitaihe,2019-09-08,优,17,10,6,11,9,11,0.40,54
qitaihe,2019-09-09,优,32,100,12,31,8,15,0.43,58
qitaihe,2019-09-10,优,35,157,8,35,7,14,0.40,43
qitaihe,2019-09-11,优,44,245,13,49,12,20,0.67,29
qitaihe,2019-09-12,优,39,192,17,41,10,27,0.52,52
qitaihe,2019-09-13,优,23,49,10,21,9,18,0.40,53
qitaihe,2019-09-14,优,31,137,10,24,7,17,0.38,56
qitaihe,2019-09-15,优,25,61,12,23,8,17,0.40,48
qitaihe,2019-09-16,优,39,157,13,40,8,18,0.35,46
qitaihe,2019-09-17,优,34,95,14,34,10,21,0.48,48
qitaihe,2019-09-18,优,37,140,10,39,7,9,0.25,53
qitaihe,2019-09-19,优,31,77,12,28,9,18,0.29,47
qitaihe,2019-09-20,优,36,95,19,35,13,34,0.57,43
qitaihe,2019-09-21,优,27,41,13,27,8,18,0.44,38
qitaihe,2019-09-22,优,36,76,16,36,9,22,0.48,37
qitaihe,2019-09-23,优,41,76,18,39,8,16,0.61,42
qitaihe,2019-09-24,优,43,80,15,47,12,19,0.52,44
qitaihe,2019-09-25,优,45,81,21,50,8,27,0.58,42
qitaihe,2019-09-26,良,63,215,30,78,21,47,0.81,38
qitaihe,2019-09-27,良,58,179,27,72,11,35,0.90,68
qitaihe,2019-09-28,良,58,145,23,67,11,28,0.81,69
qitaihe,2019-09-29,良,56,131,24,67,6,19,0.57,80
qitaihe,2019-09-30,优,46,69,17,51,12,25,0.63,49
qitaihe,2019-10-01,良,56,149,28,59,9,22,0.73,122
qitaihe,2019-10-02,良,55,172,26,59,8,23,0.61,121
qitaihe,2019-10-03,良,51,140,19,56,5,14,0.47,34
qitaihe,2019-10-04,优,29,93,13,27,5,14,0.42,25
qitaihe,2019-10-05,优,47,279,15,50,10,22,0.48,35
qitaihe,2019-10-06,优,29,104,13,27,6,22,0.50,59
qitaihe,2019-10-07,优,35,128,15,35,5,22,0.50,64
qitaihe,2019-10-08,优,26,57,11,23,6,12,0.40,50
qitaihe,2019-10-09,优,27,52,12,27,5,22,0.44,55
qitaihe,2019-10-10,优,44,162,21,49,7,22,0.59,82
qitaihe,2019-10-11,良,54,203,19,64,6,26,0.47,34
qitaihe,2019-10-12,良,59,253,23,70,12,36,0.66,29
qitaihe,2019-10-13,良,64,309,22,78,10,33,0.58,27
qitaihe,2019-10-14,良,63,333,21,76,12,29,0.52,36
qitaihe,2019-10-15,优,37,158,14,38,7,23,0.43,52
qitaihe,2019-10-16,良,72,328,22,94,10,36,0.55,41
qitaihe,2019-10-17,良,66,273,26,83,13,46,0.70,38
qitaihe,2019-10-18,良,64,255,26,78,17,46,0.83,40
qitaihe,2019-10-19,良,73,255,31,97,15,49,0.78,39
qitaihe,2019-10-20,良,68,186,38,87,12,39,1.00,65
